Country,Sub-commodity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,Concentrates                                      ,13246,17228,9173,14451,29160,37108,25712,,,,
Belgium,Metal                                             ,186,197,274,396,334,318,295,,,,
France,Concentrates                                      ,1708,1955,2569,3004,2945,3490,3350,,,,
Germany,Concentrates                                      ,7500,6300,5700,4300,4200,7100,6000,,,,
Germany,Metal                                             ,735,896,853,510,596,544,624,,,,
Italy,Concentrates                                      ,11012,2832,3500,3081,2964,2030,1804,,,,
Italy,Metal                                             ,137,27,17,4,60,104,77,,,,
Netherlands,Concentrates                                      ,9959,9514,11493,25207,24796,21927,19456,,,,
Netherlands,Metal                                             ,147,75,,,,,,,,,
Spain,Concentrates                                      ,14360,8031,10191,9452,9331,10719,8811,,,,
Sweden,Metal                                             ,95,121,97,107,203,279,445,,,,
United Kingdom,Concentrates                                      ,818,1037,1261,1200,1084,1127,1461,1165,1112,1316,1149
United Kingdom,Metal                                             ,213,66,60,91,66,42,136,168,88,112,120
