Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,706300,497550,581600,607836,620136,583339,414672,499335,434339,427565,493992
Brazil,20425,24687,23659,22647,21302,21000,17844,17136,10994,43,6513
China,33500,33500,33500,33500,33500,33500,33500,33500,40000,35000,50000
Gambia,,,,,,0,1000,3000,0,0,4000
India,21125,21125,20626,18437,11709,9107,11906,12000,10000,10000,10000
Indonesia,109000,49000,21000,31000,35000,29000,54000,73000,64000,54000,97000
Kazakhstan,,,,,,,,,,,
Kenya,0,0,40123,25951,27671,65324,36604,48356,32224,25928,90698
Madagascar,31242,31345,27275,11879,15582,21000,22757,29473,26029,23100,26800
Malaysia,442,379,677,826,653,1595,509,449,157,1518,768
Mozambique,46900,31400,50800,51800,68200,73960,76550,87181,78138,100158,103553
Nigeria,4000,2000,1034,960,891,900,531,500,400,500,600
Russia,8000,8504,7900,7334,7800,7200,7400,6300,6000,5500,5000
Senegal,0,0,9040,45248,52627,61562,64278,58432,59000,64000,57000
Sierra Leone,610,2950,2416,1389,1400,3000,11400,8500,6600,4100,4000
South Africa,393000,292000,393000,387000,360000,377000,350000,370000,280000,320000,320000
Sri Lanka,293,228,1335,614,7749,8569,785,917,419,400,268
Turkey,,,,,,,1950,0,0,0,0
USA,90000,80000,70000,80000,80000,50000,100000,20000,20000,20000,100000
Ukraine,20000,41000,27000,25000,22000,25000,21614,22000,22000,22000,10000
Vietnam,21000,7000,7000,1000,6000,0,11000,6200,11000,30000,30000
